Product Name,Price,Product URL,Units Sold
DIGIT,"11,800",https://www.daraz.pk/products/digit-play-smart-phone-61-inch-bigger-screen-ram-3gb-rom-32gb-i405483570.html,23
Redmi,"30,999",https://www.daraz.pk/products/redmi-a5-4gb128gb-pta-approved-i932541571.html,999
Redmi,"25,199",https://www.daraz.pk/products/redmi-a5-4-gb-ram-rom-64-non-scanned-non-active-pta-approved-i801532292.html,3.9K
Samsung,"31,599",https://www.daraz.pk/products/samsung-galaxy-a07-4gb128gb-pta-approved-i924759919.html,3.0K
Xiaomi,"250,299",https://www.daraz.pk/products/xiaomi-15t-pro-12gb-ram-512gb-rom-683-144hz-eye-care-display-long-lasting-5500mah-typ-battery-pta-approved-official-one-year-brand-warranty-i923118577.html,Punjab
Tecno,"39,797",https://www.daraz.pk/products/tecno-spark-40-6gb128gb-pta-approved-i916086724.html,2.8K
Redmi,"35,799",https://www.daraz.pk/products/redmi-15c-6gb-128gb-pta-approved-i923162414.html,1.5K
Motorola,"21,000",https://www.daraz.pk/products/5-2023-128-4-qualcomm-sm6450-snapdragon-6-gen-1-5000-50-i1951221734.html,Sindh
Redmi,"59,999",https://www.daraz.pk/products/14-8-gb-1-gb-20-mp-2-mp-2-mp-2-mp-typ-i656080990.html,Punjab
Vivo,"20,830",https://www.daraz.pk/products/20-8-128-5000-18-651-13mp-ai-i1950856002.html,Sindh
Redmi,"33,499",https://www.daraz.pk/products/redmi-15c-4gb-128gb-pta-approved-i923138689.html,374
Nothing,"148,999",https://www.daraz.pk/products/2a-67-12-256-32-50-50-5000-i933107806.html,Sindh
Redmi,"59,999",https://www.daraz.pk/products/redmi-note-14-8gb-ram-256-gb-rom-non-scanned-non-active-pta-approved-i671366617.html,846
Aquos,"35,332",https://www.daraz.pk/products/2-1-gb-8gb-256-mah-20-pta-i377428033.html,Punjab
Motorola,"19,999",https://www.daraz.pk/products/5-2024-128-4-4-1-5000mah-66-i1951245151.html,Sindh
Vivo,"17,395",https://www.daraz.pk/products/66-4-64-3000-i1950750341.html,10
Oppo,"19,999",https://www.daraz.pk/products/31-2015-65-8-256-128-128-12-2-8-i940417435.html,9
Nothing,"273,699",https://www.daraz.pk/products/4a-12256-2-i1951871827.html,Punjab
Nothing,"106,999",https://www.daraz.pk/products/cmf-2-lcd-667-8gb-128gb-16mp-50mp-50mp-8mp-7300-5000mah-pta-i933110361.html,Sindh
Nothing,"97,499",https://www.daraz.pk/products/cmf-2-8128gb-pta-i941769187.html,Punjab
Schok,"5,959",https://www.daraz.pk/products/55-2-16-11-3000-i1951132126.html,(1)
Infinix,"39,696",https://www.daraz.pk/products/infinix-hot-60i-6gb128gb-pta-approved-i916102582.html,358
Tecno,"29,797",https://www.daraz.pk/products/tecno-spark-go-3-4128-i1948065372.html,428
Vivo,"20,999",https://www.daraz.pk/products/vivo-y19-653-inches-ips-lcd-display-8gb-ram-256gb-storage-official-pta-approved-fingerprint-sensor-helio-p65-processor-phone-and-box-no-charger-and-no-accessories-included-mix-color-i491993927.html,29
Vivo,"20,999",https://www.daraz.pk/products/vivo-y19-653-inches-ips-lcd-display-8gb-ram-256gb-storage-official-pta-approved-fingerprint-sensor-helio-p80-processor-phone-and-box-no-charger-and-no-accessories-included-mix-color-i492006432.html,15
Xiaomi,"42,699",https://www.daraz.pk/products/xiaomi-poco-c85-i1949186689.html,18
Motorola,"47,916",https://www.daraz.pk/products/5-2021-256-8-68-108mp-i1947077376.html,Punjab
Nothing,"173,899",https://www.daraz.pk/products/3a-12256gb-pta-cmf-i941763638.html,Punjab
Google,"48,999",https://www.daraz.pk/products/6-6gb-wrin-6-mah-i604224782.html,46
Moto,"64,999",https://www.daraz.pk/products/2024-5g-67-8-128-6-1-i1951604652.html,Sindh
Infinix,"61,496",https://www.daraz.pk/products/infinix-hot-60-pro-plus-8gb256gb-pta-approved-i916094949.html,192
Tecno,"30,999",https://www.daraz.pk/products/4gb-40c-1-pk-13-mp-1-mah-i924505752.html,Punjab
Vivo,"18,999",https://www.daraz.pk/products/vivo-y17-635-inches-ips-lcd-display-8gb-ram-256gb-storage-official-pta-approved-fingerprint-sensor-helio-p35-processor-phone-and-box-no-charger-and-no-accessories-included-mix-color-i491864707.html,153
Y6,"13,999",https://www.daraz.pk/products/y6-2019-364-100-i470709010.html,53
Moto,"29,999",https://www.daraz.pk/products/g-2024-hd-4gb-64gb-pta-i913891485.html,Sindh
Oppo,"10,999",https://www.daraz.pk/products/oppo-a57-52-3-32-14-i266428237.html,728
Redmi,"94,999",https://www.daraz.pk/products/redmi-note-15-pro-8gb-256gb-i1949690778.html,5
Motorola,"33,999",https://www.daraz.pk/products/ace-5g-464gb-i419883912.html,Sindh
Redmi,"74,999",https://www.daraz.pk/products/redmi-note-15-8gb-256gb-i1949696693.html,(1)
Nothing,"75,799",https://www.daraz.pk/products/cmf-1-8128gb-pta-i941757431.html,(1)
